name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B07D3ZW98F,Nintendo Minecraft standard nintendo_switch,no product url,22.65,22.65,€,4.7,False
B0CSG5J4YB,"Minecraft Erasable Gel Pen Set, Colorful Erasers with Erasers, Pack of 6, School Supplies",no product url,19.99,19.99,€,4.6,False
B09HZLCGRV,100% Minecraft Coloriages pixels: 70 incroyables coloriages pour tous les fans !,no product url,5.5,5.5,€,4.7,False
B08W58JP27,PLAYGROUND BOTTLE 410 ML MINECRAFT,no product url,6.99,6.99,€,4.4,False
B0C5CMXV1Y,L'Encyclopédie Minecraft: Le guide complet pour tout savoir sur Minecraft !,no product url,15.95,15.95,€,4.8,False
B096WLBGWB,Paladone Minecraft 2 Light Modes 2 Modes Battery Operated Plastic Torch,no product url,23.05,23050.0,€,4.2,False
B0B45ZXGCL,ALUMINUM BOTTLE FOR CHILDREN 600 ML | MINECRAFT ISOMETRIC,no product url,11.99,11.99,€,4.2,False
B0BR1J5KBW,Jada - Set of 4 Minecraft nanofigurines 7 cm (253262001),no product url,17.3,17.3,€,4.5,False
B0D8TYV1GB,OTL Technologies Minecraft Children's Headphones,no product url,19.9,19.9,€,4.4,False
B084B4F1LZ,Paladone - Products: Minecraft Light Creeper Decoration,no product url,17.49,17.49,€,4.5,False
B0CNZ1M4MS,"Minecraft Cotton Pyjamas Short, T-Shirt and Shorts Set Boys",no product url,27.68,11.99,€,4.7,False
B0F815TXCY,"Minecraft Bedding Set, Reversible Duvet Cover 140 x 200 cm, Pillowcase 65 x 65 cm (Minecraft Duvet Cover Set)",no product url,19.74,19.74,€,4.7,False
B0DYJYB1BR,Paladone Minecraft Wolf GloBuddies Officially Licensed 3D LED Night Light Press to Change Colour Game Merchandise Battery Operated,no product url,20.16,20.16,€,4.3,False
B07XRV4GMZ,"Minecraft Backpack for Boys | Black School Backpack for Kids | Green School Backpack Creeper Zombie Skeleton Enderman and Cave Spider Backpack, Black, One Size, Black",no product url,32.95,32.95,€,4.7,False
B099FGN75R,Minecraft Insulated Lunch Bag for Children School or Travel Gift for Children (Black),no product url,23.99,23.99,€,4.6,False
B08XB8P9GW,Theonoi lunch box kids lunch box lunch box lunch box for kids lunch box with subdivision kindergarten lunch box plastic lunch box BPA free minecraft,no product url,10.95,10.95,€,4.4,False
2384963627,Shônen: Tome 1,no product url,7.2,7.2,€,4.4,False
B0D24G9LM8,ILS I LOVE SHOPPING Microfibre Beach Towel Swimming Pool Towel 140 x 70 cm Quick Dry Ultra Soft (for Minecraft),no product url,13.92,13.92,€,4.5,False
2075151229,Minecraft Dungeons: Autocollants et activités avec plus de 500 autocollants,no product url,4.95,4.95,€,4.6,False
B07YDDQMDK,Minecraft Battle Single Cotton Duvet Cover Set,no product url,31.73,31.73,€,4.6,False
2075224218,"Minecraft, le film: Le livre d'activités officiel",no product url,6.95,6.95,€,4.8,False
2075138036,"Minecraft Animaux: Autocollants et activités, avec plus de 500 autocollants d'animaux",no product url,4.95,4.95,€,4.7,False
B0DKNVNK6W,Minecraft SquishMe Series 5 6.5cm,no product url,10.49,0.33,€,3.5,False
B08W57Y1Z9,550 ML ROBOT BOTTLE | MINECRAFT,no product url,14.99,14.99,€,4.4,False
B0CKPT6C1W,"Jada Toys Minecraft Blind Pack Nanofigs, Wave 2, Minecraft Legends Nano Metal Collectible Figure, Various Models, 4 cm, Ages 3 Years and Up",no product url,5.59,5.59,€,4.4,False
B0BQW3RN3V,ALUMINUM BOTTLE FOR CHILDREN 530 ML | MINECRAFT ISOMETRIC,no product url,8.99,8.99,€,4.0,False
B0DYKRFW14,"Paladone, WeCool 3D Creeper Stickers Craft Kit for Minecraft Officially Licensed 3D Creeper Stickers for Girls and Kids Age 6+ Create 50 Stickers",no product url,24.19,24.19,€,3.3,False
